timestamp,nodeId,nodeIdentifier,pitSize,pitOccupancy,cacheHitRatio,interestRate,dataRate,trustScore,rssi,delay,label
0.2,1006,RSU_1006,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.2,1007,RSU_1007,0,0,0,0,0,0,-70,0.05,packetDropped
0.2,0,Node_0,4235020688,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.2,1,Node_1,4233095248,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.2,2,Node_2,0,0,0,0,0,0,-70,0.05,packetDropped
0.2,1000,RSU_1000,1446,4.82117e-311,4.79995e-311,4.87422e-311,4.85513e-311,4.766e-311,-70,0.05,packetDropped
0.2,1001,RSU_1001,3435973837,21.9592,21.9896,5.215,21.8781,18,-70,0.05,packetDropped
0.2,1002,RSU_1002,4231289824,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.2,1003,RSU_1003,7077945,1.39072e-307,8.34423e-308,1.00132e-307,4.45038e-308,8.34424e-308,-70,0.05,packetDropped
0.2,1004,RSU_1004,4233061760,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.2,1005,RSU_1005,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.2,1006,RSU_1006,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.2,1007,RSU_1007,0,0,0,0,0,0,-70,0.05,packetDropped
0.2,0,Node_0,4235020688,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.2,1,Node_1,4233095248,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.2,2,Node_2,0,0,0,0,0,0,-70,0.05,packetDropped
0.3,1000,RSU_1000,1446,4.82117e-311,4.79995e-311,4.87422e-311,4.85513e-311,4.766e-311,-70,0.05,packetDropped
0.3,1001,RSU_1001,3435973837,21.9592,21.9896,5.215,21.8781,18,-70,0.05,packetDropped
0.3,1002,RSU_1002,4231289824,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,1003,RSU_1003,7077945,1.39072e-307,8.34423e-308,1.00132e-307,4.45038e-308,8.34424e-308,-70,0.05,packetDropped
0.3,1004,RSU_1004,4233061760,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,1005,RSU_1005,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.3,1006,RSU_1006,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.3,1007,RSU_1007,0,0,0,0,0,0,-70,0.05,packetDropped
0.3,0,Node_0,4235020688,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,1,Node_1,4233095248,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,2,Node_2,0,0,0,0,0,0,-70,0.05,packetDropped
0.3,3,Node_3,4235372272,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,1000,RSU_1000,1446,4.82117e-311,4.79995e-311,4.87422e-311,4.85513e-311,4.766e-311,-70,0.05,packetDropped
0.3,1001,RSU_1001,3435973837,21.9592,21.9896,5.215,21.8781,18,-70,0.05,packetDropped
0.3,1002,RSU_1002,4231289824,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,1003,RSU_1003,7077945,1.39072e-307,8.34423e-308,1.00132e-307,4.45038e-308,8.34424e-308,-70,0.05,packetDropped
0.3,1004,RSU_1004,4233061760,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,1005,RSU_1005,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.3,1006,RSU_1006,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.3,1007,RSU_1007,0,0,0,0,0,0,-70,0.05,packetDropped
0.3,0,Node_0,4235020688,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,1,Node_1,4233095248,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,2,Node_2,0,0,0,0,0,0,-70,0.05,packetDropped
0.3,3,Node_3,4235372272,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,1000,RSU_1000,1446,4.82117e-311,4.79995e-311,4.87422e-311,4.85513e-311,4.766e-311,-70,0.05,packetDropped
0.3,1001,RSU_1001,3435973837,21.9592,21.9896,5.215,21.8781,18,-70,0.05,packetDropped
0.3,1002,RSU_1002,4231289824,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,1003,RSU_1003,7077945,1.39072e-307,8.34423e-308,1.00132e-307,4.45038e-308,8.34424e-308,-70,0.05,packetDropped
0.3,1004,RSU_1004,4233061760,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,1005,RSU_1005,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.3,1006,RSU_1006,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.3,1007,RSU_1007,0,0,0,0,0,0,-70,0.05,packetDropped
0.3,0,Node_0,4235020688,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,1,Node_1,4233095248,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.3,2,Node_2,0,0,0,0,0,0,-70,0.05,packetDropped
0.3,3,Node_3,4235372272,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,1000,RSU_1000,1446,4.82117e-311,4.79995e-311,4.87422e-311,4.85513e-311,4.766e-311,-70,0.05,packetDropped
0.4,1001,RSU_1001,3435973837,21.9592,21.9896,5.215,21.8781,18,-70,0.05,packetDropped
0.4,1002,RSU_1002,4231289824,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,1003,RSU_1003,7077945,1.39072e-307,8.34423e-308,1.00132e-307,4.45038e-308,8.34424e-308,-70,0.05,packetDropped
0.4,1004,RSU_1004,4233061760,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,1005,RSU_1005,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.4,1006,RSU_1006,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.4,1007,RSU_1007,0,0,0,0,0,0,-70,0.05,packetDropped
0.4,0,Node_0,4235020688,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,1,Node_1,4233095248,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,2,Node_2,0,0,0,0,0,0,-70,0.05,packetDropped
0.4,3,Node_3,4235372272,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,1000,RSU_1000,1446,4.82117e-311,4.79995e-311,4.87422e-311,4.85513e-311,4.766e-311,-70,0.05,packetDropped
0.4,1001,RSU_1001,3435973837,21.9592,21.9896,5.215,21.8781,18,-70,0.05,packetDropped
0.4,1002,RSU_1002,4231289824,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,1003,RSU_1003,7077945,1.39072e-307,8.34423e-308,1.00132e-307,4.45038e-308,8.34424e-308,-70,0.05,packetDropped
0.4,1004,RSU_1004,4233061760,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,1005,RSU_1005,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.4,1006,RSU_1006,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.4,1007,RSU_1007,0,0,0,0,0,0,-70,0.05,packetDropped
0.4,0,Node_0,4235020688,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,1,Node_1,4233095248,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,2,Node_2,0,0,0,0,0,0,-70,0.05,packetDropped
0.4,3,Node_3,4235372272,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,1000,RSU_1000,1446,4.82117e-311,4.79995e-311,4.87422e-311,4.85513e-311,4.766e-311,-70,0.05,packetDropped
0.4,1001,RSU_1001,3435973837,21.9592,21.9896,5.215,21.8781,18,-70,0.05,packetDropped
0.4,1002,RSU_1002,4231289824,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,1003,RSU_1003,7077945,1.39072e-307,8.34423e-308,1.00132e-307,4.45038e-308,8.34424e-308,-70,0.05,packetDropped
0.4,1004,RSU_1004,4233061760,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,1005,RSU_1005,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.4,1006,RSU_1006,3211309,8.34424e-308,4.45036e-308,1.11258e-307,9.45695e-308,4.45037e-308,-70,0.05,packetDropped
0.4,1007,RSU_1007,0,0,0,0,0,0,-70,0.05,packetDropped
0.4,0,Node_0,4235020688,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,1,Node_1,4233095248,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,2,Node_2,0,0,0,0,0,0,-70,0.05,packetDropped
0.4,3,Node_3,4235372272,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,4.79231e-310,-70,0.05,packetDropped
0.4,1000,RSU_1000,1446,4.82117e-311,4.79995e-311,4.87422e-311,4.85513e-311,4.766e-311,-70,0.05,packetDropped
